=====[Train] Iter: 499 | Loss: 0.5736 | Accuracy: 0.736654 =====
=====Best Valid IoU Is: 0.674506 =====
=====[Train] Iter: 14499 | Loss: 0.3180 | Accuracy: 0.880208 =====
=====[Train] Iter: 14999 | Loss: 0.2312 | Accuracy: 0.943522 =====
=====[Train] Iter: 15499 | Loss: 0.3285 | Accuracy: 0.892578 =====
=====[Train] Iter: 15999 | Loss: 0.4204 | Accuracy: 0.814779 =====
[Eval] Iter: 500 | Acc: 0.8604 | 2025-02-15 12:09:45.398325
[Eval] Iter: 1000 | Acc: 0.8420 | 2025-02-15 12:10:24.730562
[Eval] Iter: 1500 | Acc: 0.9372 | 2025-02-15 12:11:04.064101
[Eval] Iter: 2000 | Acc: 0.9284 | 2025-02-15 12:11:43.388617
[Eval] Iter: 2500 | Acc: 0.7865 | 2025-02-15 12:12:22.731032
[Eval] Iter: 3000 | Acc: 0.8851 | 2025-02-15 12:13:02.093513
[Eval] Iter: 3500 | Acc: 0.6969 | 2025-02-15 12:13:41.468697
[Eval] Iter: 4000 | Acc: 0.8512 | 2025-02-15 12:14:20.843838
[Eval] Iter: 4500 | Acc: 0.6987 | 2025-02-15 12:15:00.219584
[Eval] Iter: 5000 | Acc: 0.9007 | 2025-02-15 12:15:39.591593
[Eval] Iter: 5500 | Acc: 0.9211 | 2025-02-15 12:16:18.970588
[Eval] Iter: 6000 | Acc: 0.8963 | 2025-02-15 12:16:58.354792
[Eval] Iter: 6500 | Acc: 0.8553 | 2025-02-15 12:17:37.736297
[Eval] Iter: 7000 | Acc: 0.7563 | 2025-02-15 12:18:17.120547
[Eval] Iter: 7500 | Acc: 0.8981 | 2025-02-15 12:18:56.502769
[Eval] Iter: 8000 | Acc: 0.9315 | 2025-02-15 12:19:35.877561
[Eval] Iter: 8500 | Acc: 0.7142 | 2025-02-15 12:20:15.244606
[Eval] Iter: 9000 | Acc: 0.8735 | 2025-02-15 12:20:54.611832
[Eval] Iter: 9500 | Acc: 0.9440 | 2025-02-15 12:21:33.984840
[Eval] Iter: 10000 | Acc: 0.9582 | 2025-02-15 12:22:13.342972
[Eval] Iter: 10500 | Acc: 0.6712 | 2025-02-15 12:22:52.706074
[Eval] Iter: 11000 | Acc: 0.9336 | 2025-02-15 12:23:32.091619
[Eval] Iter: 11500 | Acc: 0.7104 | 2025-02-15 12:24:11.452951
[Eval] Iter: 12000 | Acc: 0.8512 | 2025-02-15 12:24:50.802839
*****Test Classes: [20, 18, 17, 16, 9, 8, 4, 11, 1, 15]*****

=====[Valid]  Mean IoU: 0.680153 =====

*******************Model Saved*******************
=====Mean Valid IoU Is: 0.680153 =====
=====Best Valid IoU Is: 0.680153 =====
=====[Train] Iter: 16499 | Loss: 0.3472 | Accuracy: 0.872233 =====
=====[Train] Iter: 16999 | Loss: 0.7715 | Accuracy: 0.839355 =====
=====[Train] Iter: 17499 | Loss: 0.1699 | Accuracy: 0.938477 =====
=====[Train] Iter: 17999 | Loss: 0.6900 | Accuracy: 0.791016 =====
[Eval] Iter: 500 | Acc: 0.8351 | 2025-02-15 12:32:08.855585
[Eval] Iter: 1000 | Acc: 0.8564 | 2025-02-15 12:32:48.173209
[Eval] Iter: 1500 | Acc: 0.9274 | 2025-02-15 12:33:27.496008
[Eval] Iter: 2000 | Acc: 0.9370 | 2025-02-15 12:34:06.829349
[Eval] Iter: 2500 | Acc: 0.7757 | 2025-02-15 12:34:46.184500
[Eval] Iter: 3000 | Acc: 0.8571 | 2025-02-15 12:35:25.520462
[Eval] Iter: 3500 | Acc: 0.7284 | 2025-02-15 12:36:04.872407
[Eval] Iter: 4000 | Acc: 0.8724 | 2025-02-15 12:36:44.193136
[Eval] Iter: 4500 | Acc: 0.6997 | 2025-02-15 12:37:23.500449
[Eval] Iter: 5000 | Acc: 0.8927 | 2025-02-15 12:38:02.836495
[Eval] Iter: 5500 | Acc: 0.9310 | 2025-02-15 12:38:42.185218
[Eval] Iter: 6000 | Acc: 0.9302 | 2025-02-15 12:39:21.525957
[Eval] Iter: 6500 | Acc: 0.8216 | 2025-02-15 12:40:00.864151
[Eval] Iter: 7000 | Acc: 0.6709 | 2025-02-15 12:40:40.196211
[Eval] Iter: 7500 | Acc: 0.8434 | 2025-02-15 12:41:19.556211
[Eval] Iter: 8000 | Acc: 0.9090 | 2025-02-15 12:41:58.908328
[Eval] Iter: 8500 | Acc: 0.8271 | 2025-02-15 12:42:38.283046
[Eval] Iter: 9000 | Acc: 0.7454 | 2025-02-15 12:43:17.635202
